species,groupe,position,a,b,K ,L_Inf,t0,life_span,catch_2000,catch_2001,catch_2002,catch_2003,catch_2004,catch_2005,catch_2006,catch_2007,catch_2008,catch_2009,catch_2010
Octopus vulgaris,cephalopod,demersal,3.658403,7.41E-05,1.2429,159.01131,-0.05583,2,1638831.2,1346606.31,1989322.71,2091879.91,4004613.08,3400347.64,2191472.97,2029014.62,1006045.63,1453739.46,2664131.02
Penaeus kerathurus,crustacea,benthic,3.14,3.9E-06,0.637,20.4575,-0.752,3,3711925.98,3246000.83,2470762.21,2118907.18,2739496.41,2620155.56,2163013.05,1721677.78,1144057.01,1094038.68,1232415.25
Metapenaeus monoceros,crustacea,benthic,3.23,0.0045,1.36,19.33,0.02,2.2,,757428.75,1606173.99,1967027.61,2557357.3,1551980.71,1314526.64,1105042.38,61634.82,474083.3,249002.46
Trachurus trachurus ,fish,pelagic,2.8921,0.0114,0.197,42.3,-0.542,9,417012.77,295048.8,323769.48,481794.09,1381381.39,752521.67,973000.79,1176355.72,1098841.31,1086903.28,1368282.94
Sardina pilchardus,fish,pelagic,3.056,0.0065,0.408,19.2,-0.94,5,4290476.45,3658381.7,3634601.75,3016175.05,3689062.85,5965814.55,7594480.95,5683304.05,5867828.69,4404526.85,3324387.01
Sardinella aurita,fish,pelagic,2.93,0.0061,0.24,26.48,-1.78,7,6787829.65,7813748.85,6840140.9,5388602.15,6273022.15,4350264,4828177.1,6833957.2,5928874,3707159.25,6655288.15
Engraulis encrasicolus,fish,pelagic,3.16,0.0042,0.36,17.19,-1.01,4,,1404,,,702.9,,68289.3,10869.8,30022.25,59075.5,60867.2
diplodus Annularis,fish,demersal,3.094,0.014,0.16,22.64,-2,8,1740347.24,1826182.84,1710612.87,1822976.55,1326393.09,1389679.48,1579648.5,1423748.64,1684904.59,1739050.61,2115744.59
Mustelus mustelus,fish,demersal,3.036,0.004345702,0.06,199,-3.82,20,336257.24,513652.32,531987.45,627170.15,622133.08,455729.39,391032.38,351889.52,332530.24,241346.18,328025.98
Merluccius merlucius,fish,pelagic,3.115,0.0036,0.185,102.85,-0.786,20,153505.28,132452.12,346291.55,242469.69,441906.75,259915.5,349713,250484.6,104089.05,38551.5,43378.26
Pagellus erythrinus,fish,demersal,2.705,0.03011,0.137,35.79,-1.631,9,1638723.02,1644611.09,1028418.82,1034830.29,969733.11,872999.98,897104.06,1024842.45,1142833.05,1493535.84,2007918.34
